topic	sentence0내일 반품할 노트북이 삼성인지 엘지인지 알려주세요0내일 삼성노트북을 반품할거에요 엘지노트북을 반품할거에요0내일 삼성노트북이랑 엘지노트북 중에 어떤 노트북을 반품하는거에요0혹시 내일 반품할 노트북이 삼성과 엘지 중에 무엇인지 아시나요0내일 노트북 반품이 삼성노트북인지 엘지노트북인지 확인부탁드립니다�립니다
0	저기 내일 반품할 노트북이 삼성이니 엘지니
0	야 내일 삼성노트북 반품할거냐 엘지노트북 반품할거냐
0	야 내일 삼성노트북이랑 엘지노트북 중에 어떤 노트북 반품하는거냐
0	저기 내일 반품할 노트북이 삼성이랑 엘지 중에 뭔지 알고있니
0	저기 내일 노트북 반품하는게 삼성건지 엘지건지 확인좀 해봐
0	다용도 선반이 원목인지 플라스틱인지 확인 부탁드립니다
0	원목인가요 플라스틱인가요 다용도 선반이
0	원목으로 된 다용도 선반인가요 플라스틱으로 된 다용도 선반인가요
0	다용도 선반이 원목인가요 플라스틱인가요
0	다용도 선반이 원목인지 플라스틱인지 알려주세요
0	야 다용도 선반이 원목이냐 플라스틱이냐 확인 좀 해봐
0	저기 원목이야 아님 플라스틱이야 다용도 선반 말이야
0	야 원목으로 된 다용도 선반이냐 아님 플라스틱으로 된 다용도 선반이냐
0	있잖아 다용도 선반 말인데 원목이야 아님 플라스틱이야
0	야 다용도 선반 말이야 원목인지 플라스틱인지 좀 알려줄래
0	파란색 바지가 겨울용인지 여름용인지 알려주세요
0	그 파란색 바지 있잖아요 그거 겨울바지에요 여름바지에요
0	파란색 바지가 겨울바지인지 여름바지인지 아시나요
0	파란색 바지는 겨울바지 입니까 아니면 여름바지 입니까
0	겨울용인지 여름용인지 알려주세요 그 파란색 바지 말이에요
0	저기 파란색 바지가 겨울용인지 여름용인지 알려줄래
0	야 그 파란색 바지 있잖아 그거 겨울바지야 여름바지야
0	야 파란색 바지 말이야 겨울바지야 아님 여름바지야 알고있니
0	저기 파란색 바지는 겨울바지야 아님 여름바지야
0	야 겨울용인지 여름용인지 알려줘봐 그 파란색 바지 말이야
0	반품하고 싶은 갤럭시폰이 검정색인지 회색인지 알려주세요
0	검정색 갤럭시폰을 반품하고 싶은거에요 회색 갤럭시폰을 반품하고 싶은거에요
0	검정색과 회색 중에 반품하고 싶은 갤럭시폰은 어떤 색이죠
0	반품한다는 갤럭시폰 말이에요 검정색 회색 중에 어떤 겁니까
0	갤럭시폰을 환불한다고 하는데 검정색이에요 회색이에요
0	저기 반품하고 싶은 갤럭시폰 있잖아 검정색이니 아님 회색이니
